NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
128,128,128,30,1,0,1,1,hopper004,50.8713,1.47483
128,128,128,30,1,0,1,2,hopper010,36.8411,1.01965
128,128,128,30,1,0,1,3,hopper004,42.6325,0.882838
128,128,128,30,1,0,1,4,hopper010,52.2027,0.723197
128,128,128,30,1,0,2,1,hopper004,56.4958,1.33524
128,128,128,30,1,0,2,2,hopper010,51.7056,1.46029
128,128,128,30,1,0,2,4,hopper010,66.7404,1.12581
128,128,128,30,1,0,2,3,hopper004,67.7022,1.11148
128,128,128,30,1,0,3,2,hopper010,76.3637,1.48319
128,128,128,30,1,0,3,1,hopper004,84.1565,1.34456
128,128,128,30,1,0,3,3,hopper010,72.4945,1.56049
128,128,128,30,1,0,3,4,hopper004,92.4807,1.22088
128,128,128,30,1,0,4,1,hopper010,115.811,1.30663
128,128,128,30,1,0,4,2,hopper004,102.925,1.47107
128,128,128,30,1,0,4,3,hopper010,103.023,1.46973
128,128,128,30,1,0,4,4,hopper004,94.5787,1.59915
128,128,128,30,1,0,5,2,hopper010,128.688,1.46834
128,128,128,30,1,0,5,1,hopper004,137.263,1.37398
128,128,128,30,1,0,5,3,hopper010,122.157,1.54482
128,128,128,30,1,0,5,4,hopper004,115.693,1.63032
128,128,128,30,1,0,6,2,hopper004,154.622,1.47015
128,128,128,30,1,0,6,1,hopper010,172.029,1.32008
128,128,128,30,2,0,1,1,hopper[004 010],53.3493,2.82329
128,128,128,30,2,0,1,2,hopper[004 010],40.025,1.88593
128,128,128,30,1,0,6,4,hopper010,146.939,1.54662
128,128,128,30,1,0,6,3,hopper004,149.387,1.52029
128,128,128,30,1,0,7,2,hopper010,180.492,1.46675
128,128,128,30,1,0,7,1,hopper004,190.154,1.38927
128,128,128,30,1,0,7,3,hopper010,171.258,1.54365
128,128,128,30,1,0,7,4,hopper004,163.057,1.62051
128,128,128,30,1,0,8,2,hopper010,210.822,1.44079
128,128,128,30,1,0,8,1,hopper004,223.019,1.35915
128,128,128,30,1,0,8,3,hopper010,204.292,1.48587
128,128,128,30,1,0,8,4,hopper004,199.257,1.52329
128,128,128,30,2,0,1,3,hopper[004 010],49.2438,1.53731
128,128,128,30,2,0,1,4,hopper[004 010],55.7762,1.35872
128,128,128,30,2,0,2,1,hopper[004 010],59.6159,2.54038
128,128,128,30,2,0,2,2,hopper[004 010],53.1838,2.84857
128,128,128,30,2,0,2,3,hopper[004 010],70.0667,2.15589
128,128,128,30,2,0,2,4,hopper[004 010],67.1162,2.24401
128,128,128,30,2,0,3,1,hopper[004 010],89.1466,2.5497
128,128,128,30,2,0,3,2,hopper[004 010],78.6617,2.8904
128,128,128,30,2,0,3,4,hopper[004 010],96.6575,2.34493
128,128,128,30,2,0,4,1,hopper[004 010],118.053,2.57173
128,128,128,30,2,0,4,2,hopper[004 010],106.569,2.85119
128,128,128,30,2,0,4,3,hopper[004 010],101.187,2.99945
128,128,128,30,2,0,4,4,hopper[004 010],99.1179,3.0635
128,128,128,30,2,0,5,1,hopper[004 010],144.221,2.62621
128,128,128,30,2,0,5,2,hopper[004 010],132.449,2.86366
128,128,128,30,2,0,5,3,hopper[004 010],129.222,2.93327
128,128,128,30,2,0,5,4,hopper[004 010],123.953,3.05794
128,128,128,30,2,0,6,1,hopper[004 010],176.59,2.58031
128,128,128,30,2,0,6,2,hopper[004 010],162.249,2.81217
128,128,128,30,2,0,6,3,hopper[004 010],158.438,2.87862
128,128,128,30,2,0,6,4,hopper[004 010],154.656,2.94924
128,128,128,30,2,0,7,1,hopper[004 010],202.665,2.61779
128,128,128,30,2,0,7,2,hopper[004 010],188.706,2.8162
128,128,128,30,2,0,7,3,hopper[004 010],179.482,2.95734
128,128,128,30,2,0,7,4,hopper[004 010],174.071,3.04824
128,128,128,30,2,0,8,1,hopper[004 010],236.406,2.57079
128,128,128,30,2,0,8,3,hopper[004 010],208.383,2.91873
128,128,128,30,2,0,8,4,hopper[004 010],203.19,2.99121
