NX,NY,NZ,TT,SLURM_NNODES,SLURM_JOB_NODELIST,TIME,GFLOPS
128,128,128,5,2,hopper[052-053],4.86729,402.535
16,16,16,5,1,hopper052,3.31829,1.71699
32,32,32,5,1,hopper053,3.10087,13.1808
48,48,48,5,1,hopper052,3.876,30.3391
64,64,64,5,1,hopper053,3.81002,79.2904
80,80,80,5,1,hopper052,3.87112,90.9884
96,96,96,5,1,hopper053,4.46558,126.741
112,112,112,5,1,hopper052,5.12597,152.051
128,128,128,5,1,hopper053,5.11905,213.197
144,144,144,5,1,hopper052,5.11972,179.571
160,160,160,5,1,hopper053,5.39249,166.041
176,176,176,5,1,hopper052,5.03871,197.227
192,192,192,5,1,hopper053,5.02382,180.544
208,208,208,5,1,hopper052,5.5126,209.091
224,224,224,5,1,hopper053,5.92394,208.799
240,240,240,5,1,hopper052,5.93326,213.666
256,256,256,5,1,hopper053,5.05413,243.59
